Treatment,Exposure,Time,Hormone,SD,SE
C,a,1,1322.8,1823.222816,744.3275977
C,a,2,1691.1,3550.094197,1449.319887
C,a,3,1462.1,2271.742436,927.4349659
C,a,4,3147.5,2147.730258,876.8072064
C,b,1,1332.1,1390.292123,567.5843824
C,b,2,894.9,591.0705826,241.3035549
C,b,3,2220.5,1237.459812,505.1908527
C,b,4,2602.3,1533.290589,625.9632618
C,a,1,3867.6,1940.926333,792.3798574
C,a,2,4540.6,1188.643771,485.2617874
C,a,3,3258.2,2113.389471,862.7876385
C,a,4,2065.8,2675.969473,1092.459963
C,b,1,1995.4,1569.289097,640.6595911
C,b,2,1059.5,3223.903707,1316.153177
C,b,3,2546.7,2650.900614,1082.225644
C,b,4,3381.9,2846.15141,1161.936447
C,a,1,3668,,
C,a,2,4788.4,,
C,a,3,3396.9,,
C,a,4,2176,,
C,b,1,3223.7,,
C,b,2,1477.3,,
C,b,3,4217.8,,
C,b,4,4091.5,,
C,a,1,5381,,
C,a,2,10150,,
C,a,3,7170.5,,
C,a,4,7101.7,,
C,b,1,4776.5,,
C,b,2,2305.5,,
C,b,3,3524.5,,
C,b,4,4937.9,,
C,a,1,642.8,,
C,a,2,832.4,,
C,a,3,709.5,,
C,a,4,1413.5,,
C,b,1,2002,,
C,b,2,725.4,,
C,b,3,2589.1,,
C,b,4,1881,,
C,a,1,1686.8,,
C,a,2,985.8,,
C,a,3,2235.6,,
C,a,4,1514.9,,
C,b,1,1030.3,,
C,b,2,864.7,,
C,b,3,590.3,,
C,b,4,702.4,,
r,a,1,388.9,,
r,a,2,486.7,,
r,a,3,344.5,,
r,a,4,317.4,,
r,b,1,385.5,,
r,b,2,558.5,,
r,b,3,291.3,,
r,b,4,511.3,,
r,a,1,589.5,,
r,a,2,489.5,,
r,a,3,648.1,,
r,a,4,1158.8,,
r,a,1,3603.3,,
r,b,2,8193.1,,
r,b,3,6700.5,,
r,b,4,3800.2,,
r,a,1,4691.8,,
r,a,2,3320.5,,
r,a,3,5455.8,,
r,a,4,7137.1,,
r,b,1,3377.9,,
r,b,2,5057.4,,
r,b,3,3960.2,,
r,b,4,7033.4,,
r,a,1,3383.9,,
r,a,2,1412.8,,
r,a,3,31.3,,
r,a,4,843.5,,
r,b,1,2996,,
r,b,2,1824.9,,
r,b,3,593.4,,
r,b,4,2.3,,
r,a,1,287.9,,
r,a,2,196.6,,
r,a,3,226,,
r,a,4,373.2,,
r,b,1,474.8,,
r,b,2,360.1,,
r,b,3,360.1,,
r,b,4,361.1,,
r,a,1,227,,
r,a,2,403.6,,
r,a,3,262.9,,
r,a,4,457.1,,
r,b,1,595.4,,
r,b,2,373.2,,
r,b,3,706.1,,
r,b,4,258.1,,
