Treatment,Exposure,Time,Hormone,SD,SE
C,a,1,4919.378276,1530.729089,624.9175339
C,a,2,1962.304178,907.5184767,370.4928667
C,a,3,10234.77445,3239.702934,1322.603184
C,a,4,2340.152421,1968.31831,803.5625851
C,b,1,3711.996072,2909.645744,1187.857901
C,b,2,30736.19782,36465.19713,14886.85439
C,b,3,34339.3897,15478.94298,6319.25201
C,b,4,22591.10956,10633.23973,4341.00194
C,a,1,1992.092905,,
C,a,2,2656.007984,,
C,a,3,1596.228138,,
C,a,4,4172.397624,,
C,b,1,2965.1132,,
C,b,2,19760.10524,,
C,b,3,24099.75385,,
C,b,4,36689.47833,,
C,a,1,1088.578729,,
C,a,2,1375.805404,,
C,a,3,1986.328611,,
C,a,4,1791.110815,,
C,b,1,5684.64733,,
C,b,2,13462.80059,,
C,b,3,55461.93314,,
C,b,4,25148.40095,,
C,a,1,1051.617635,,
C,a,2,1345.854522,,
C,a,3,2325.588189,,
C,a,4,1635.806452,,
C,b,1,9842.508373,,
C,b,2,48710.07217,,
C,b,3,29500.06834,,
C,b,4,23558.02084,,
C,a,1,3710.253287,,
C,a,2,3605.48833,,
C,a,3,4121.29735,,
C,a,4,6811.211635,,
C,b,1,1821.870798,,
C,b,2,104613.6534,,
C,b,3,9362.802077,,
C,b,4,7328.938335,,
C,a,1,2828.17294,,
C,a,2,2939.965639,,
C,a,3,2974.753057,,
C,a,4,2724.029768,,
C,b,1,3004.886804,,
C,b,2,4605.954091,,
C,b,3,21295.19948,,
C,b,4,10705.00022,,
r,a,1,10,,
r,a,2,10,,
r,a,3,10,,
r,a,4,10,,
r,b,1,10,,
r,b,2,10,,
r,b,3,10,,
r,b,4,10,,
r,a,1,10,,
r,a,2,10,,
r,a,3,10,,
r,a,4,10,,
r,a,1,10,,
r,b,2,10,,
r,b,3,10,,
r,b,4,10,,
r,a,1,10,,
r,a,2,10,,
r,a,3,10,,
r,a,4,10,,
r,b,1,10,,
r,b,2,10,,
r,b,3,10,,
r,b,4,10,,
r,a,1,10,,
r,a,2,10,,
r,a,3,10,,
r,a,4,10,,
r,b,1,10,,
r,b,2,10,,
r,b,3,10,,
r,b,4,10,,
r,a,1,10,,
r,a,2,10,,
r,a,3,10,,
r,a,4,10,,
r,b,1,10,,
r,b,2,10,,
r,b,3,10,,
r,b,4,10,,
r,a,1,10,,
r,a,2,10,,
r,a,3,10,,
r,a,4,10,,
r,b,1,10,,
r,b,2,10,,
r,b,3,10,,
r,b,4,10,,
